request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"db7e02d6-a0a5-483e-85ac-256fc4702df8",GET,/,"debug=true&locale=en",,302,,,,804964821738000,804964905875600,804964912673200
"77b1eebc-82da-488b-b791-d166624058e7",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=183,,804964936826600,804964948709600,804968812390400
"e200cf06-5cef-49d4-8bea-fecaa8b93b4f",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,804969027356000,804969041551500,804969043749100
"b0487f89-771f-47a7-8117-9ce4aa1007ee",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,804969091710900,804969101889500,804969105511800
"55f51aa9-039e-48c7-824f-4f29614f2536",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,804969124808000,804969127777400,804969129653200
"e96f0cfc-3b4a-45a0-9fe4-2cd6eef99f21",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,804969141032600,804969145046700,804969147106500
"7c19c8dd-43ee-4e33-8266-e6f0bedfea6f",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,804969173759300,804969177435300,804969178999000
"1cbe912d-f011-4c31-8c32-92582f7ad20c",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,804969195728100,804969199381000,804969201198300
"76752e79-41fe-4001-b5f8-765da3b83e1a",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,804969213258000,804969218192300,804969219556400
"a008092c-d6a6-43af-9a9a-3ad17e268191",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,804969228913200,804969231715100,804969232592000
"7e8fdc87-b513-4c87-9518-14b9fe28b745",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,804969241154900,804969244755000,804969245687600
"32274626-fd92-4e60-b3bf-bee1990a713e",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,804969255746700,804969259614900,804969260954100
"3cbb3e1f-b94b-4473-b3c2-6615ebf2688d",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,804969270074500,804969272937100,804969274433600
"d8b300e8-a65c-4989-832d-86585ff19b5d",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,804969283605000,804969286125600,804969287444400
"3ba82d81-4a9c-4163-ae46-c47732bcae51",GET,/images/banner.png,,,200,image/png,,,804969297112600,804969300879200,804969302372300
"fea55675-c90b-42d7-8cf1-b3d2f1c76eb0",GET,/images/logo.png,,,200,image/png,,,804969334569200,804969337521200,804969339282600
"4a6c960e-ec2f-457a-ac30-f48640837287",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,804969351693000,804969355901500,804969357175100
"6998c0dc-d45b-4cb8-bba8-2f03404248b5",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,804969371701200,804969376162400,804969377432000
"3d428d79-bf40-4506-82fc-0a4e32ea4809",GET,/images/favicon.ico,,,200,image/x-icon,,,804969390189400,804969406160500,804969407996400
"af280249-256c-4b74-8be9-0554eafea048",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=184&username=",,804969414261300,804969427016600,804970782330100
"2e7d2fc1-ae84-420a-8b1b-4ce86127f073",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,804970830721400,804970835171700,804970836113500
"b52b543d-1d2e-4897-887d-39f65346232f",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,804970842140800,804970844492500,804970845372500
"6ec67f1c-0a2a-444f-a439-88de9e358107",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,804970851555500,804970853339600,804970854009200
"f5f6a19f-e7f2-4b87-a9de-e1c2a8db7284",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,804970859270500,804970861381000,804970862090200
"8d389e27-a4de-4b1c-b89b-b4024083edbb",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,804970867570200,804970869777800,804970870472100
