key,name,pictureLink,averageDwellTime,promotionCode,discount,key:airport
service-01,L,https://i.imgur.com/8YcXhS0.png,1.2,ABCD-25,EUR 500000.00,airport-01
service-02,Lo,https://i.imgur.com/MtBRoNP.png,2.2,ACCD-25,USD 0.00,airport-02
service-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",https://i.imgur.com/NGLSjk6.png,0.1,AAAA-25,GBP 0.01,airport-01
service-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",https://i.imgur.com/fihihcF.png,1.01,AAAB-25,EUR 999999.99,airport-01
service-05,โลเร็ม อิปซัม,https://i.imgur.com/2eVF1HG.png,20.00,null,null,airport-01
service-06,لوريم إيبسوم,https://i.imgur.com/CqtMSmM.png,999.0,ZZZY-25,GBP1000000.00,airport-01
service-07,洛伦·伊普森,https://i.imgur.com/sgx1bFo.png,1000.0,ZZZZ-25,EUR 1000.00,airport-01
service-08,<marquee>Hacked</marquee>,https://i.imgur.com/qu5SrLN.png,1.00,AEXY-25,GBP 999999.99,airport-03
service-09,<script>alert(‘Hacked!’);</script>,https://i.imgur.com/8n7KfX1.png,12.00,BGDA-25,null,airport-04
service-10,' or 'A' = 'A,http://www.lorem-ipsum.org/dolor/sit.html,48.00,AEIO-25,"",airport-02
